pa,population,area_km2,green_area_km2,green_per_capita_m2,pop_density_per_km2
Ang Mo Kio,162280,100.0,2.1157,13.04,1622.8
Bedok,276990,100.0,4.6763,16.88,2769.9
Bishan,87320,100.0,3.2539,37.26,873.2
Boon Lay,40,100.0,1.4354,35884.52,0.4
Bukit Batok,158030,100.0,0.7758,4.91,1580.3
Bukit Merah,151250,100.0,3.8159,25.23,1512.5
Bukit Panjang,138270,100.0,1.2763,9.23,1382.7
Bukit Timah,77860,100.0,1.571,20.18,778.6
Choa Chu Kang,192070,100.0,3.3555,17.47,1920.7
Clementi,91990,100.0,0.8274,8.99,919.9
Downtown Core,3190,100.0,2.796,876.48,31.9
Geylang,110110,100.0,2.4869,22.59,1101.1
Hougang,227560,100.0,3.7345,16.41,2275.6
Jurong East,78600,100.0,0.7741,9.85,786.0
Jurong West,262730,100.0,1.5361,5.85,2627.3
Kallang,101290,100.0,3.6962,36.49,1012.9
Lim Chu Kang,110,100.0,0.5441,4946.34,1.1
Mandai,2090,100.0,5.0814,2431.28,20.9
Marine Parade,46220,100.0,4.1567,89.93,462.2
Museum,510,100.0,1.1455,2246.17,5.1
Newton,8260,100.0,5.1583,624.49,82.6
North-Eastern Islands,50,100.0,2.235,44699.2,0.5
Novena,49330,100.0,1.8828,38.17,493.3
Orchard,920,100.0,0.3796,412.66,9.2
Outram,18340,100.0,1.9849,108.23,183.4
Pasir Ris,147110,100.0,0.2839,1.93,1471.1
Paya Lebar,40,100.0,1.5808,39519.82,0.4
Pioneer,80,100.0,2.8158,35198.02,0.8
Punggol,174450,100.0,1.4512,8.32,1744.5
Queenstown,95930,100.0,5.055,52.69,959.3
River Valley,10070,100.0,2.1738,215.87,100.7
Rochor,13120,100.0,1.29,98.32,131.2
Seletar,300,100.0,2.6281,8760.29,3.0
Sembawang,102640,100.0,1.3516,13.17,1026.4
Sengkang,249370,100.0,3.2363,12.98,2493.7
Serangoon,116900,100.0,1.4072,12.04,1169.0
Singapore River,3260,100.0,3.1685,971.94,32.6
Southern Islands,1940,100.0,4.4776,2308.04,19.4
Sungei Kadut,750,100.0,1.9154,2553.84,7.5
Tampines,259900,100.0,1.474,5.67,2599.0
Tanglin,21810,100.0,1.2062,55.31,218.1
Tengah,10,100.0,1.4043,140425.74,0.1
Toa Payoh,121850,100.0,3.6651,30.08,1218.5
Tuas,70,100.0,1.8226,26037.09,0.7
Western Islands,10,100.0,1.5277,152766.74,0.1
Western Water Catchment,640,100.0,1.349,2107.83,6.4
Woodlands,255130,100.0,0.7412,2.91,2551.3
Yishun,221610,100.0,3.9482,17.82,2216.1
Changi,0,100.0,0.0,0.0,0.0
Central Water Catchment,0,100.0,0.0,0.0,0.0
Changi Bay,0,100.0,0.0,0.0,0.0
Simpang,0,100.0,0.0,0.0,0.0
Marina East,0,100.0,0.0,0.0,0.0
Marina South,0,100.0,0.0,0.0,0.0
Marina Bay,0,100.0,0.0,0.0,0.0
Straits View,0,100.0,0.0,0.0,0.0
