name,planning_area,land_use_type,centroid_lon,centroid_lat,distance_m
kml_205,Unknown,RESIDENTIAL,103.908805,1.418455,940.407666
kml_206,Unknown,RESIDENTIAL,103.903324,1.414329,405.906115
kml_207,Unknown,RESIDENTIAL,103.906059,1.416004,573.595406
kml_208,Unknown,RESIDENTIAL,103.904025,1.414712,422.270784
kml_209,Unknown,RESIDENTIAL,103.904001,1.415097,464.768813
kml_210,Unknown,RESIDENTIAL,103.904145,1.414287,373.354174
kml_211,Unknown,RESIDENTIAL,103.905462,1.416098,571.755167
kml_212,Unknown,RESIDENTIAL,103.905047,1.416828,648.880137
kml_213,Unknown,RESIDENTIAL,103.905290,1.415802,536.870223
kml_214,Unknown,RESIDENTIAL,103.904428,1.414529,395.050323
kml_215,Unknown,RESIDENTIAL,103.908397,1.418561,930.512738
kml_216,Unknown,RESIDENTIAL,103.908699,1.418488,938.152781
kml_217,Unknown,RESIDENTIAL,103.904442,1.415941,551.328073
kml_218,Unknown,RESIDENTIAL,103.904558,1.414626,404.543138
kml_219,Unknown,RESIDENTIAL,103.909026,1.419353,1040.396014
kml_220,Unknown,RESIDENTIAL,103.904773,1.416591,622.023733
kml_221,Unknown,RESIDENTIAL,103.905796,1.415684,532.392055
kml_222,Unknown,RESIDENTIAL,103.903611,1.414597,422.057671
kml_223,Unknown,RESIDENTIAL,103.903863,1.414626,417.122328
kml_224,Unknown,RESIDENTIAL,103.908776,1.419076,1000.378906
kml_225,Unknown,RESIDENTIAL,103.905376,1.416245,586.857297
kml_226,Unknown,RESIDENTIAL,103.903865,1.414071,357.762418
kml_227,Unknown,RESIDENTIAL,103.905627,1.415545,513.729754
kml_228,Unknown,RESIDENTIAL,103.905248,1.415186,468.292717
kml_229,Unknown,RESIDENTIAL,103.903827,1.414832,440.301139
kml_230,Unknown,RESIDENTIAL,103.903643,1.414382,398.244525
kml_231,Unknown,RESIDENTIAL,103.905881,1.416288,600.076547
